id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
597,597,281,R ALEXANDER LTD,R ALEXANDRU SERVICES LTD,,,,,,,,,,,,,,,,
1448,1448,1042,Bank of Beijing,Bank of Beijing Co Ltd,,,,,,,,,,,,,,,,
1487,1487,12,Oriental Carbon & Chemicals,Oriental Carbon & Chemicals Ltd,,,,,,,,,,,,,,,,
1601,1601,439,Booking Holdings (booking.com),Booking Holdings Inc,,,,,,,,,,,,,,,,
1814,1814,1658,Teladoc Health Inc,"Teladoc Health, Inc.",,,,,,,,,,,,,,,,
2102,2102,1417,BAD INTENTIONS CLOTHING LIMITED,BAD INTENTIONS LTD,,,,,,,,,,,,,,,,
2368,2368,140,Thonburi Healthcare Group Public Company,Thonburi Healthcare Group Public Company Ltd,,,,,,,,,,,,,,,,
2448,2448,2305,Beijing Jetsen Technology,Beijing Jetsen Technology Co. Ltd,,,,,,,,,,,,,,,,
2670,2670,2145,Casino Guichard-perrachon Societe Anonyme,"Casino, Guichard-Perrachon SA",,,,,,,,,,,,,,,,
2802,2802,785,SOL S.p.A.,SOL SpA,,,,,,,,,,,,,,,,
2888,2888,2744,Ningbo Joyson Electronic,Ningbo Joyson Electronic Corp,,,,,,,,,,,,,,,,
3052,3052,2561,Pitney Bowes,Pitney Bowes Inc,,,,,,,,,,,,,,,,
3114,3114,2612,Z & Z PROPERTIES INVESTMENT LTD,Z & Z PROPERTIES LIMITED,,,,,,,,,,,,,,,,
3513,3513,355,Sopra Steria Group SA,Sopra Steria Group Sa,,,,,,,,,,,,,,,,
3875,3875,2299,Eland Oil & Gas,Eland Oil & Gas**,,,,,,,,,,,,,,,,
3954,3954,460,Piaggio & C. SpA,Piaggio & C. Spa,,,,,,,,,,,,,,,,
3973,3973,491,Nippon Suisan Kaisha,Nippon Suisan Kaisha Ltd,,,,,,,,,,,,,,,,
4021,4021,1280,EXOR,EXOR NV,,,,,,,,,,,,,,,,
4101,4101,288,Aeon Co Ltd,Aeon Co. Ltd,,,,,,,,,,,,,,,,
4275,4275,850,Shanghai Huayi Group Corp Ltd,Shanghai Huayi Group Corporation,,,,,,,,,,,,,,,,
4374,4374,720,BEAUTY & HOLISTIC LOUNGE LTD,BEAUTY & HOLISTIC THERAPY LTD,,,,,,,,,,,,,,,,
4388,4388,3103,Cincinnati Financial,Cincinnati Financial Corp,,,,,,,,,,,,,,,,
4394,4394,3226,BEAUTY AND THE BEAST TATTOO LIMITED,BEAUTY AND THE BEASTLY TRUTH LTD,,,,,,,,,,,,,,,,
4418,4418,3642,GOOD CONTACT LIMITED,GOOD CONTENT LTD,,,,,,,,,,,,,,,,
4461,4461,2670,Casino Guichard-Perrachon SA,Casino Guichard-perrachon Societe Anonyme,,,,,,,,,,,,,,,,
4503,4503,2958,Indiabulls Housing Finance,Indiabulls Housing Finance Ltd,,,,,,,,,,,,,,,,
4790,4790,1743,Playtech Plc,Playtech plc,,,,,,,,,,,,,,,,
4802,4802,723,Differ Group Holding Company,Differ Group Holding Company Ltd,,,,,,,,,,,,,,,,
4890,4890,443,Lamb Weston Holdings Inc,"Lamb Weston Holdings, Inc.",,,,,,,,,,,,,,,,
5017,5017,4811,Lotte Corp,Lotte Corporation,,,,,,,,,,,,,,,,
5070,5070,2234,Shanghai Construction Group Co Ltd,Shanghai Construction Group Co. Ltd,,,,,,,,,,,,,,,,
5100,5100,2581,SOFTWARE OF EXCELLENCE UK HOLDINGS LIMITED,SOFTWARE OF EXCELLENCE UNITED KINGDOM LIMITED,,,,,,,,,,,,,,,,
5139,5139,1367,FOOD AND BEVERAGE BRANDS LIMITED,FOOD AND BEVERAGE CONSULTANTS LIMITED,,,,,,,,,,,,,,,,
5153,5153,912,Brookfield Infrastructure Partners,Brookfield Infrastructure Partners LP,,,,,,,,,,,,,,,,
5163,5163,179,Ta Chen Stainless Pipe,Ta Chen Stainless Pipe Co Ltd,,,,,,,,,,,,,,,,
5419,5419,164,Savills,Savills Plc,,,,,,,,,,,,,,,,
5429,5429,354,Bicycle Therapeutics,Bicycle Therapeutics plc,,,,,,,,,,,,,,,,
5477,5477,3505,Aier Eye Hospital Group,Aier Eye Hospital Group Co Ltd,,,,,,,,,,,,,,,,
5769,5769,2311,Crown Holdings Inc,"Crown Holdings, Inc.",,,,,,,,,,,,,,,,
5801,5801,2168,Merck & Co Inc,Merck & Co.,,,,,,,,,,,,,,,,
5909,5909,3316,Medifast,Medifast Inc,,,,,,,,,,,,,,,,
6004,6004,569,Taiwan Business Bank Co Ltd,"Taiwan Business Bank,Ltd.",,,,,,,,,,,,,,,,
6015,6015,1494,China Pacific Insurance,China Pacific Insurance (Group) Co Ltd,,,,,,,,,,,,,,,,
6091,6091,473,Credit Agricole SA,Credit Agricole Vita Spa,,,,,,,,,,,,,,,,
6148,6148,3847,Portland General Electric Co,Portland General Electric Company,,,,,,,,,,,,,,,,
6197,6197,5665,Kawasaki Heavy Industries,Kawasaki Heavy Industries Ltd,,,,,,,,,,,,,,,,
