id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
799,799,588,Biffa,Biffa plc,,,,,,,,,,,,,,,,
926,926,894,Ogury,Ogury*,,,,,,,,,,,,,,,,
984,984,548,Hyundai Motor Careers,Hyundai Motor Co,,,,,,,,,,,,,,,,
1377,1377,409,World Fuel Services,World Fuel Services Corp,,,,,,,,,,,,,,,,
1713,1713,108,Sasol Limited,Sasol Ltd,,,,,,,,,,,,,,,,
1840,1840,931,Keyence,Keyence Corp,,,,,,,,,,,,,,,,
2146,2146,1862,S&P Global,S&P Global Inc,,,,,,,,,,,,,,,,
2214,2214,758,China United Network Communications,China United Network Communications Ltd,,,,,,,,,,,,,,,,
2547,2547,10,Fubon Financial Holding,Fubon Financial Holding Co Ltd,,,,,,,,,,,,,,,,
2645,2645,1305,Yihai International Holding,Yihai International Holding Ltd,,,,,,,,,,,,,,,,
2762,2762,254,Beiqi Foton Motor,Beiqi Foton Motor Co Ltd,,,,,,,,,,,,,,,,
3112,3112,1265,Digital Value,Digital Value S.p.A.,,,,,,,,,,,,,,,,
3122,3122,1109,Indus Towers,Indus Towers Ltd,,,,,,,,,,,,,,,,
3125,3125,903,Mueller Industries,Mueller Industries Inc,,,,,,,,,,,,,,,,
3132,3132,2108,Hua Nan Financial Holdings Co Ltd,Hua Nan Financial Holdings Co. Ltd,,,,,,,,,,,,,,,,
3205,3205,2378,3i Group,3i Group Plc,,,,,,,,,,,,,,,,
3223,3223,173,"Pershing Square Holdings, Ltd.","Pershing Square Tontine Holdings, Ltd.",,,,,,,,,,,,,,,,
3244,3244,2371,Chipotle Mexican Grill,Chipotle Mexican Grill Inc,,,,,,,,,,,,,,,,
3480,3480,974,Orient Securities Company,Orient Securities Company Ltd,,,,,,,,,,,,,,,,
3588,3588,120,GOOD & HONEST LIMITED,GOOD & NOVEL LIMITED,,,,,,,,,,,,,,,,
3598,3598,1271,Subsea 7,Subsea 7 SA,,,,,,,,,,,,,,,,
3708,3708,2676,ALL ABOUT TECHNOLOGY LTD,ALL ABOUT TELECOMS LTD,,,,,,,,,,,,,,,,
3837,3837,2605,Nestea,Nestle,,,,,,,,,,,,,,,,
