id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
258,258,42,KBC Bank,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
274,274,42,Rabobank Ireland,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
274,274,258,Rabobank Ireland,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
480,480,42,Istrobanka,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
480,480,258,Istrobanka,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
480,480,274,Istrobanka,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
916,916,42,UniCredit Bank Czech Republic and Slovakia,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
916,916,258,UniCredit Bank Czech Republic and Slovakia,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
916,916,274,UniCredit Bank Czech Republic and Slovakia,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
916,916,480,UniCredit Bank Czech Republic and Slovakia,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1467,1467,42,Bank of Åland,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1467,1467,258,Bank of Åland,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1467,1467,274,Bank of Åland,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1467,1467,480,Bank of Åland,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1467,1467,916,Bank of Åland,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1583,1583,42,Erste Bank,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1583,1583,258,Erste Bank,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1583,1583,274,Erste Bank,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1583,1583,480,Erste Bank,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1583,1583,916,Erste Bank,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1583,1583,1467,Erste Bank,Bank of Åland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,42,FHB Mortgage Bank,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,258,FHB Mortgage Bank,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,274,FHB Mortgage Bank,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,480,FHB Mortgage Bank,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,916,FHB Mortgage Bank,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,1467,FHB Mortgage Bank,Bank of Åland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1593,1593,1583,FHB Mortgage Bank,Erste Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,42,Ūkio bankas,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,258,Ūkio bankas,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,274,Ūkio bankas,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,480,Ūkio bankas,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,916,Ūkio bankas,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,1467,Ūkio bankas,Bank of Åland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,1583,Ūkio bankas,Erste Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
1719,1719,1593,Ūkio bankas,FHB Mortgage Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,42,Ikano Bank,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,258,Ikano Bank,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,274,Ikano Bank,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,480,Ikano Bank,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,916,Ikano Bank,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,1467,Ikano Bank,Bank of Åland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,1583,Ikano Bank,Erste Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,1593,Ikano Bank,FHB Mortgage Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2228,2228,1719,Ikano Bank,Ūkio bankas,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,42,Bulgarian Development Bank,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,258,Bulgarian Development Bank,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,274,Bulgarian Development Bank,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,480,Bulgarian Development Bank,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,916,Bulgarian Development Bank,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,1467,Bulgarian Development Bank,Bank of Åland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,1583,Bulgarian Development Bank,Erste Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,1593,Bulgarian Development Bank,FHB Mortgage Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,1719,Bulgarian Development Bank,Ūkio bankas,Financials,Financials,Banks,Banks,,,,,,,,,,,,
2951,2951,2228,Bulgarian Development Bank,Ikano Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
3161,3161,42,Banco Sabadell,Dexia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
3161,3161,258,Banco Sabadell,KBC Bank,Financials,Financials,Banks,Banks,,,,,,,,,,,,
3161,3161,274,Banco Sabadell,Rabobank Ireland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
3161,3161,480,Banco Sabadell,Istrobanka,Financials,Financials,Banks,Banks,,,,,,,,,,,,
3161,3161,916,Banco Sabadell,UniCredit Bank Czech Republic and Slovakia,Financials,Financials,Banks,Banks,,,,,,,,,,,,
3161,3161,1467,Banco Sabadell,Bank of Åland,Financials,Financials,Banks,Banks,,,,,,,,,,,,
