id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
823,823,76,Conseqta Careers,Consolidated Communications Holdings Inc,,,,,,,,,,,,,,,www.conseqta.com,www.consolidated.com
1023,1023,768,Stride Inc,Strike Careers,,,,,,,,,,,,,,,www.stridelearning.com,www.strikeusa.com
1965,1965,305,Deutsche Grundstuecksauktionen AG,Deutsche Pfandbriefbank AG,,,,,,,,,,,,,,,https://disfold.com/company/deutsche-grundstuecksauktionen-ag/,https://disfold.com/company/deutsche-pfandbriefbank-ag/
2220,2220,1814,Envictus International Holdings Ltd,Envipco Holding N.V.,,,,,,,,,,,,,,,https://disfold.com/company/envictus-international-holdings-ltd/,https://disfold.com/company/envipco-holding-nv/
2294,2294,880,Mondi plc,Mondo TV S.p.A.,,,,,,,,,,,,,,,https://disfold.com/company/mondi-plc/,https://disfold.com/company/mondo-tv-spa/
2299,2299,2112,Dollar General Corp,Dollar Tree Inc,,,,,,,,,,,,,,,www.dollargeneral.com,www.dollartree.com
2399,2399,1272,Farglory Land Development Co Ltd,Farglory Life Insurance Co. Ltd,,,,,,,,,,,,,,,www.farglory-land.com.tw,https://disfold.com/company/farglory-life-insurance-co-ltd/
2416,2416,179,PT Pratama Abadi Nusa Industri Tbk,PT Prima Cakrawala Abadi Tbk,,,,,,,,,,,,,,,https://disfold.com/company/pt-pratama-abadi-nusa-industri-tbk/,https://disfold.com/company/pt-prima-cakrawala-abadi-tbk/
2599,2599,388,Rolling Arrays Consulting,Rollins Inc,,,,,,,,,,,,,,,https://www.rollingarrays.com/,www.rollins.com
2694,2694,1417,Longboat Clinical,Longchen Paper & Packaging Co Ltd,,,,,,,,,,,,,,,https://www.longboat.com,www.longchenpaper.com
2742,2742,80,Teladoc Health Inc,TelcoSwitch Group,,,,,,,,,,,,,,,www.teladochealth.com,https://telcoswitch.com/
2994,2994,1530,H&M Careers,H&R Block Inc,,,,,,,,,,,,,,,www.hm.com,www.hrblock.com
2995,2995,382,Dahua Technology Co Ltd,Dai-ichi Life Holdings Inc,,,,,,,,,,,,,,,www.dahuatech.com,www.dai-ichi-life-hd.com
3035,3035,2420,Dana Inc,Danaher Corp,,,,,,,,,,,,,,,www.dana.com,www.danaher.com
3289,3289,798,Stiltz,Stiltz Lifts,,,,,,,,,,,,,,,https://www.stiltz.co.uk/,https://www.stiltz.co.uk
3295,3295,2895,Cast Group Unipersonale,Casta Diva Group S.p.A.,,,,,,,,,,,,,,,https://www.cast-group.it,https://disfold.com/company/casta-diva-group-spa/
3370,3370,254,Zur Rose Group AG,Zurich Insurance Group AG,,,,,,,,,,,,,,,https://disfold.com/company/zur-rose-group-ag/,https://disfold.com/company/zurich-insurance-group-ag/
3542,3542,98,American Pacific Borates Limited,American Rare Earths Limited,,,,,,,,,,,,,,,https://disfold.com/company/american-pacific-borates-limited/,https://disfold.com/company/american-rare-earths-limited/
3565,3565,657,Five Motors,Fiverr Careers,,,,,,,,,,,,,,,https://www.fivemotors.it,fiverr
3615,3615,1403,Columbia Bank Careers,Columbia Sportswear Company,,,,,,,,,,,,,,,www.columbiabank.com,https://disfold.com/company/columbia-sportswear-company/
3644,3644,3441,Far East Group Ltd,Far East Hospitality Trust,,,,,,,,,,,,,,,https://disfold.com/company/far-east-group-ltd/,https://disfold.com/company/far-east-hospitality-trust/
3688,3688,1367,Accent Group Limited,Accenture Plc,,,,,,,,,,,,,,,https://disfold.com/company/accent-group-limited/,www.accenture.com
