id,left_row_index,right_row_index,left_name_company,right_name_company,label,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
20,21977,18454,Smart Eye AB,Smart Eye,1,,,,,,,,,,,,,,,,
21,30677,8671,Sinocare,"Sinocare, Inc.",1,,,,,,,,,,,,,,,,
22,38571,5369,Topdanmark AS,Topdanmark A/s,1,,,,,,,,,,,,,,,,
23,17409,818,Bendigo And Adelaide Bank,Bendigo & Adelaide Bank,1,,,,,,,,,,,,,,,,
24,56113,11167,Aluar Aluminio Argentino S.A.I.C.,Aluar Aluminio Argentino,1,,,,,,,,,,,,,,,,
25,24362,17618,Rongsheng Petrochemical Co Ltd,Rongsheng Petrochemical,1,,,,,,,,,,,,,,,,
26,40180,20332,"China National Gold Group Gold Jewellery Co.,Ltd.","China National Gold Group Gold Jewellery Co.,ltd.",1,,,,,,,,,,,,,,,,
27,59091,36037,Sleep Cycle AB,Sleep Cycle,1,,,,,,,,,,,,,,,,
28,44635,24706,Stanley Electric,Stanley Electric Co. Ltd,1,,,,,,,,,,,,,,,,
29,30096,5834,Samsung Electronics,Samsung Electronics Co Ltd,1,,,,,,,,,,,,,,,,
30,10927,811,Kyowa Kirin,Kyowa Kirin Co Ltd,1,,,,,,,,,,,,,,,,
31,16176,2616,SOFTWARE REFLECTIONS LIMITED,SOFTWARE RENTALS LIMITED,0,,,,,,,,,,,,,,,,
32,30186,26364,Chubb Limited,Chubb Ltd,1,,,,,,,,,,,,,,,,
33,58312,11311,American Finance Trust,American Financial Group,0,,,,,,,,,,,,,,,,
34,16312,525,Shanghai Flyco Electrical Appliance,Shanghai Flyco Electrical Appliance Co. Ltd,1,,,,,,,,,,,,,,,,
35,37745,23808,Catcher Technology Co Ltd,Catcher Technology,1,,,,,,,,,,,,,,,,
36,58914,56936,GlobalData,GlobalData plc,1,,,,,,,,,,,,,,,,
37,38701,6310,Rudrabhishek Enterprises Ltd,Rudrabhishek Enterprises,1,,,,,,,,,,,,,,,,
38,30329,25958,Unicaja Banco,Unicaja Banco SA,1,,,,,,,,,,,,,,,,
39,26929,14640,Keisei Electric Railway,Keisei Electric Railway Co Ltd,1,,,,,,,,,,,,,,,,
40,52668,15070,Pool Corporation,Pool Corp,1,,,,,,,,,,,,,,,,
41,54484,42591,Scholastic Careers,Scholastic,1,,,,,,,,,,,,,,,,
42,59100,28579,Uniphar,Uniphar plc,1,,,,,,,,,,,,,,,,
43,38385,27472,Fresenius Medical Care AG & Co KGaA,Fresenius Medical Care AG & Co. KGaA,1,,,,,,,,,,,,,,,,
44,56932,3523,American International Group (aig),American International Group,1,,,,,,,,,,,,,,,,
45,25723,10947,TE Connectivity,TE Connectivity Ltd,1,,,,,,,,,,,,,,,,
46,40350,6050,"Public Joint Stock Company ""Sakhalinenergo""","Public Joint Stock Company ""TNS energo Kuban""",0,,,,,,,,,,,,,,,,
47,31039,16905,China Resources Power Holdings Co Ltd,China Resources Power Holdings Company,1,,,,,,,,,,,,,,,,
48,41082,180,"Tuya, Inc.",Tuya Inc.,1,,,,,,,,,,,,,,,,
49,39170,28914,VICI Properties Inc.,VICI Properties,1,,,,,,,,,,,,,,,,
50,35663,33351,Nipro Corporation,Nipro Corp,1,,,,,,,,,,,,,,,,
51,45695,3407,Zhejiang Zheneng Electric Power Co. Ltd,Zhejiang Zheneng Electric Power CO Ltd,1,,,,,,,,,,,,,,,,
52,49804,3865,SOFTWARE SURF LTD,SOFTWARE SURGERY LIMITED,0,,,,,,,,,,,,,,,,
53,38063,13440,Assicurazioni Generali SpA,Assicurazioni Generali Spa,1,,,,,,,,,,,,,,,,
54,56549,2333,Bread Financial Holdings Inc,Bread Financial Holdings,1,,,,,,,,,,,,,,,,
55,38813,12340,SOFTWARE BASE LIMITED,SOFTWARE BOX LIMITED,0,,,,,,,,,,,,,,,,
56,43270,16174,NEW ADVENTURES IN PIXELS LTD,NEW ADVENTURES LIMITED,1,,,,,,,,,,,,,,,,
57,39075,16199,Fair Isaac Corp,Fair Isaac Corporation,1,,,,,,,,,,,,,,,,
58,1583,42,Erste Bank,Dexia,1,Financials,Financials,Banks,Banks,,,,,,,,,,,,
59,54158,13343,Ammerer Bed Company,Rancilio,1,Consumer goods,Consumer goods,Durable household products,Durable household products,,,,,,,,,,,,
