row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
750,263,BAD PACKETS LTD,ALL ABOUT KIDS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
3322,1743,Banca Nazionale Del Lavoro Spa,Angelini Pharma Italia Aziende Chimiche Riunite Angelini Francesco A.c.r.a.f. Spa,"VIALE ALTIERO SPINELLI 30, ROMA, 00157, ROMA, ITALY","VIALE AMELIA 70, ROMA, 00181, ROMA, ITALY",,,,,IT09339391006,IT01258691003,,,1
3415,3108,FOOD BOOKING LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
3717,859,Bennet Holding Spa,Pluto (italia) Spa,"PIAZZA DELLA REPUBBLICA 28, MILANO, 20124, MILANO, ITALY","PIAZZA DELLA REPUBBLICA 32, MILANO, 20124, MILANO, ITALY",,,,,IT07069120967,IT10286850960,,,1
4039,3108,ALL ABOUT BOILERS LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
4261,1190,AYDINGTON PARTNERS LTD LTD,R . A. C. INTERIORS LTD,"PO Box 4385, 11187806: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH","PO Box 4385, 11794713: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",,,,,,,,,1
4768,1485,Atmos Energy Corp,Kronos Worldwide Inc,"5430 Lbj Freeway, 1800 Three Lincoln Ctr, Dallas, Texas, 75240","5430 Lbj Freeway, Suite 1700, Dallas, Texas, 75240",,,,,,,,,1
5050,2880,FOOD CHAIN ASIA LIMITED,T A BROOKS CONSULTANCY LTD,"C/O Kingsley Maybrook Ltd, Unitec House, 2 Albert Place, London, England, N3 1QB","C/O Kingsley Mayrbook, Unitec House, 2 Albert Place, London, England, N3 1QB",,,,,,,,,1
5372,2337,SJA FINANCES LIMITED,S A BROWN LTD,"7-9 The Avenue, Eastbourne, East Sussex, BN21 3YA","7-9 The Avenue, Eastbourne, East Sussex, United Kingdom, BN21 3YA",,,,,,,,,1
5606,3108,GOOD CONNEXION LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
6055,3917,BEAUTY ANCHOR AESTHETICS LIMITED,BAD BUNNY MANAGEMENT LTD,"27 Old Gloucester Street, London, England, WC1N 3AX","27 Old Gloucester Street, London, United Kingdom, WC1N 3AX",,,,,,,,,1
6383,750,V AND C RELOCATION SERVICES LTD,BAD PACKETS LTD,"71-75 Shelton Street Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ",,,,,,,,,1
6679,3108,Q BRANCH SOLUTIONS LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
6697,3917,NEW AGE LETTINGS LIMITED,BAD BUNNY MANAGEMENT LTD,"27 Old Gloucester Street, London, England, WC1N 3AX","27 Old Gloucester Street, London, United Kingdom, WC1N 3AX",,,,,,,,,1
6749,263,FINANCES AND LAW SOLUTIONS LTD,ALL ABOUT KIDS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
